<info> app: [BATCH 1 SUMMARY]: ESPAR CHAR: 000100011110, BPR: 0, BPER: 1.00

<info> app: [BATCH 2 SUMMARY]: ESPAR CHAR: 001010010110, BPR: 0, BPER: 1.00

<info> app: [BATCH 3 SUMMARY]: ESPAR CHAR: 011001010100, BPR: 0, BPER: 1.00

<info> app: [BATCH 4 SUMMARY]: ESPAR CHAR: 101101010111, BPR: 0, BPER: 1.00

<info> app: [BATCH 5 SUMMARY]: ESPAR CHAR: 000111011011, BPR: 0, BPER: 1.00

<info> app: [BATCH 6 SUMMARY]: ESPAR CHAR: 010011111111, BPR: 0, BPER: 1.00

<info> app: [BATCH 7 SUMMARY]: ESPAR CHAR: 000111101100, BPR: 0, BPER: 1.00

<info> app: [BATCH 8 SUMMARY]: ESPAR CHAR: 001010001100, BPR: 0, BPER: 1.00

<info> app: [BATCH 9 SUMMARY]: ESPAR CHAR: 010000101111, BPR: 0, BPER: 1.00

<info> app: [BATCH 10 SUMMARY]: ESPAR CHAR: 011000010011, BPR: 0, BPER: 1.00

<info> app: [BATCH 11 SUMMARY]: ESPAR CHAR: 010000001000, BPR: 0, BPER: 1.00

<info> app: [BATCH 12 SUMMARY]: ESPAR CHAR: 010111100111, BPR: 0, BPER: 1.00

<info> app: [BATCH 13 SUMMARY]: ESPAR CHAR: 110001110100, BPR: 0, BPER: 1.00

<info> app: [BATCH 14 SUMMARY]: ESPAR CHAR: 000000011100, BPR: 0, BPER: 1.00

<info> app: [BATCH 15 SUMMARY]: ESPAR CHAR: 001001010101, BPR: 0, BPER: 1.00

<info> app: [BATCH 16 SUMMARY]: ESPAR CHAR: 100111111011, BPR: 0, BPER: 1.00

<info> app: [BATCH 17 SUMMARY]: ESPAR CHAR: 000010101110, BPR: 0, BPER: 1.00

<info> app: [BATCH 18 SUMMARY]: ESPAR CHAR: 011000000011, BPR: 0, BPER: 1.00

<info> app: [BATCH 19 SUMMARY]: ESPAR CHAR: 100101011111, BPR: 0, BPER: 1.00

<info> app: [BATCH 20 SUMMARY]: ESPAR CHAR: 011101111110, BPR: 0, BPER: 1.00

<info> app: [BATCH 21 SUMMARY]: ESPAR CHAR: 101011110111, BPR: 0, BPER: 1.00

<info> app: [BATCH 22 SUMMARY]: ESPAR CHAR: 101100110011, BPR: 0, BPER: 1.00

<info> app: [BATCH 23 SUMMARY]: ESPAR CHAR: 001000010011, BPR: 0, BPER: 1.00

<info> app: [BATCH 24 SUMMARY]: ESPAR CHAR: 000011001010, BPR: 0, BPER: 1.00

<info> app: [BATCH 25 SUMMARY]: ESPAR CHAR: 011001100111, BPR: 0, BPER: 1.00

<info> app: [BATCH 26 SUMMARY]: ESPAR CHAR: 110101010100, BPR: 0, BPER: 1.00

<info> app: [BATCH 27 SUMMARY]: ESPAR CHAR: 011111011101, BPR: 0, BPER: 1.00

<info> app: [BATCH 28 SUMMARY]: ESPAR CHAR: 100101110001, BPR: 0, BPER: 1.00

<info> app: [BATCH 29 SUMMARY]: ESPAR CHAR: 011011101100, BPR: 0, BPER: 1.00

<info> app: [BATCH 30 SUMMARY]: ESPAR CHAR: 000000111010, BPR: 0, BPER: 1.00

<info> app: [BATCH 31 SUMMARY]: ESPAR CHAR: 111010110100, BPR: 0, BPER: 1.00

<info> app: [BATCH 32 SUMMARY]: ESPAR CHAR: 010100000100, BPR: 0, BPER: 1.00

<info> app: [BATCH 33 SUMMARY]: ESPAR CHAR: 110000011101, BPR: 0, BPER: 1.00

<info> app: [BATCH 34 SUMMARY]: ESPAR CHAR: 000001110110, BPR: 0, BPER: 1.00

<info> app: [BATCH 35 SUMMARY]: ESPAR CHAR: 100011100110, BPR: 0, BPER: 1.00

<info> app: [BATCH 36 SUMMARY]: ESPAR CHAR: 110010001100, BPR: 0, BPER: 1.00

<info> app: [BATCH 37 SUMMARY]: ESPAR CHAR: 111110011100, BPR: 0, BPER: 1.00

<info> app: [BATCH 38 SUMMARY]: ESPAR CHAR: 100010010111, BPR: 0, BPER: 1.00

<info> app: [BATCH 39 SUMMARY]: ESPAR CHAR: 100100101000, BPR: 0, BPER: 1.00

<info> app: [BATCH 40 SUMMARY]: ESPAR CHAR: 000100000101, BPR: 0, BPER: 1.00

<info> app: [BATCH 41 SUMMARY]: ESPAR CHAR: 001111010101, BPR: 0, BPER: 1.00

<info> app: [BATCH 42 SUMMARY]: ESPAR CHAR: 001110100000, BPR: 0, BPER: 1.00

<info> app: [BATCH 43 SUMMARY]: ESPAR CHAR: 110110101111, BPR: 0, BPER: 1.00

<info> app: [BATCH 44 SUMMARY]: ESPAR CHAR: 100100100111, BPR: 0, BPER: 1.00

<info> app: [BATCH 45 SUMMARY]: ESPAR CHAR: 100000101111, BPR: 0, BPER: 1.00

<info> app: [BATCH 46 SUMMARY]: ESPAR CHAR: 010011011001, BPR: 0, BPER: 1.00

<info> app: [BATCH 47 SUMMARY]: ESPAR CHAR: 101001001010, BPR: 0, BPER: 1.00

<info> app: [BATCH 48 SUMMARY]: ESPAR CHAR: 000000110110, BPR: 0, BPER: 1.00

<info> app: [BATCH 49 SUMMARY]: ESPAR CHAR: 001011111011, BPR: 0, BPER: 1.00

<info> app: [BATCH 50 SUMMARY]: ESPAR CHAR: 111011000110, BPR: 0, BPER: 1.00

<info> app: [BATCH 51 SUMMARY]: ESPAR CHAR: 001101010100, BPR: 0, BPER: 1.00

<info> app: [BATCH 52 SUMMARY]: ESPAR CHAR: 010010101001, BPR: 0, BPER: 1.00

<info> app: [BATCH 53 SUMMARY]: ESPAR CHAR: 010110001000, BPR: 0, BPER: 1.00

<info> app: [BATCH 54 SUMMARY]: ESPAR CHAR: 110111001000, BPR: 0, BPER: 1.00

<info> app: [BATCH 55 SUMMARY]: ESPAR CHAR: 111100101000, BPR: 0, BPER: 1.00

<info> app: [BATCH 56 SUMMARY]: ESPAR CHAR: 100100100110, BPR: 0, BPER: 1.00

<info> app: [BATCH 57 SUMMARY]: ESPAR CHAR: 111101011001, BPR: 0, BPER: 1.00

<info> app: [BATCH 58 SUMMARY]: ESPAR CHAR: 100100010011, BPR: 0, BPER: 1.00

<info> app: [BATCH 59 SUMMARY]: ESPAR CHAR: 101011100010, BPR: 0, BPER: 1.00

<info> app: [BATCH 60 SUMMARY]: ESPAR CHAR: 010011000111, BPR: 0, BPER: 1.00

<info> app: [BATCH 61 SUMMARY]: ESPAR CHAR: 000011110000, BPR: 0, BPER: 1.00

<info> app: [BATCH 62 SUMMARY]: ESPAR CHAR: 101001000111, BPR: 0, BPER: 1.00

<info> app: [BATCH 63 SUMMARY]: ESPAR CHAR: 011010101001, BPR: 0, BPER: 1.00

<info> app: [BATCH 64 SUMMARY]: ESPAR CHAR: 100101001010, BPR: 0, BPER: 1.00

<info> app: [BATCH 65 SUMMARY]: ESPAR CHAR: 011101101110, BPR: 0, BPER: 1.00

<info> app: [BATCH 66 SUMMARY]: ESPAR CHAR: 010000010000, BPR: 0, BPER: 1.00

<info> app: [BATCH 67 SUMMARY]: ESPAR CHAR: 111111100111, BPR: 0, BPER: 1.00

<info> app: [BATCH 68 SUMMARY]: ESPAR CHAR: 010101010011, BPR: 0, BPER: 1.00

<info> app: [BATCH 69 SUMMARY]: ESPAR CHAR: 100110110001, BPR: 0, BPER: 1.00

<info> app: [BATCH 70 SUMMARY]: ESPAR CHAR: 011001101111, BPR: 0, BPER: 1.00

<info> app: [BATCH 71 SUMMARY]: ESPAR CHAR: 111000110000, BPR: 0, BPER: 1.00

<info> app: [BATCH 72 SUMMARY]: ESPAR CHAR: 000111110110, BPR: 0, BPER: 1.00

<info> app: [BATCH 73 SUMMARY]: ESPAR CHAR: 110001100010, BPR: 0, BPER: 1.00

<info> app: [BATCH 74 SUMMARY]: ESPAR CHAR: 001000110000, BPR: 0, BPER: 1.00

<info> app: [BATCH 75 SUMMARY]: ESPAR CHAR: 100110010010, BPR: 0, BPER: 1.00

<info> app: [BATCH 76 SUMMARY]: ESPAR CHAR: 001001001101, BPR: 0, BPER: 1.00

<info> app: [BATCH 77 SUMMARY]: ESPAR CHAR: 011011101010, BPR: 0, BPER: 1.00

<info> app: [BATCH 78 SUMMARY]: ESPAR CHAR: 011100101110, BPR: 0, BPER: 1.00

<info> app: [BATCH 79 SUMMARY]: ESPAR CHAR: 110011000011, BPR: 0, BPER: 1.00

<info> app: [BATCH 80 SUMMARY]: ESPAR CHAR: 101100000000, BPR: 0, BPER: 1.00

<info> app: [BATCH 81 SUMMARY]: ESPAR CHAR: 001000000111, BPR: 0, BPER: 1.00

<info> app: [BATCH 82 SUMMARY]: ESPAR CHAR: 100101011110, BPR: 0, BPER: 1.00

<info> app: [BATCH 83 SUMMARY]: ESPAR CHAR: 110010110000, BPR: 0, BPER: 1.00

<info> app: [BATCH 84 SUMMARY]: ESPAR CHAR: 111010010011, BPR: 0, BPER: 1.00

<info> app: [BATCH 85 SUMMARY]: ESPAR CHAR: 000100100011, BPR: 0, BPER: 1.00

<info> app: [BATCH 86 SUMMARY]: ESPAR CHAR: 110001110010, BPR: 0, BPER: 1.00

