connecting to JLink...
connecting to nRF52840_xxAA...
connected, starting RTT...
RTT started, 2 up bufs, 2 down bufs.
up channels:
    0: name = 'Terminal', size = 512 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
down channels:
    0: name = 'Terminal', size = 16 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
<info> app: RSSI: -57, PR: 1, LP: 49,  PER: 0.97
<info> app: RSSI: -62, PR: 2, LP: 52,  PER: 0.96
<info> app: RSSI: -53, PR: 3, LP: 64,  PER: 0.95
<info> app: RSSI: -55, PR: 4, LP: 72,  PER: 0.94
<info> app: RSSI: -65, PR: 5, LP: 74,  PER: 0.93
<info> app: RSSI: -50, PR: 6, LP: 83,  PER: 0.92
<info> app: RSSI: -69, PR: 7, LP: 84,  PER: 0.91
<info> app: RSSI: -60, PR: 8, LP: 85,  PER: 0.90
<info> app: RSSI: -59, PR: 9, LP: 91,  PER: 0.90
<info> app: RSSI: -57, PR: 10, LP: 129,  PER: 0.92
<info> app: RSSI: -55, PR: 11, LP: 1098,  PER: 0.98
<info> app: RSSI: -56, PR: 12, LP: 1100,  PER: 0.98
<info> app: RSSI: -65, PR: 13, LP: 1104,  PER: 0.98
<info> app: RSSI: -49, PR: 14, LP: 1315,  PER: 0.98
<info> app: RSSI: -65, PR: 15, LP: 1378,  PER: 0.98
<info> app: RSSI: -61, PR: 16, LP: 1428,  PER: 0.98
<info> app: RSSI: -66, PR: 17, LP: 1442,  PER: 0.98
<info> app: RSSI: -70, PR: 18, LP: 1483,  PER: 0.98
<info> app: RSSI: -58, PR: 19, LP: 1488,  PER: 0.98
<info> app: RSSI: -59, PR: 20, LP: 1609,  PER: 0.98
<info> app: RSSI: -59, PR: 21, LP: 1673,  PER: 0.98
<info> app: RSSI: -65, PR: 22, LP: 1876,  PER: 0.98
<info> app: RSSI: -56, PR: 23, LP: 2070,  PER: 0.98
<info> app: RSSI: -56, PR: 24, LP: 2088,  PER: 0.98
<info> app: RSSI: -58, PR: 25, LP: 2188,  PER: 0.98
<info> app: RSSI: -55, PR: 26, LP: 2194,  PER: 0.98
<info> app: RSSI: -58, PR: 27, LP: 2206,  PER: 0.98
<info> app: RSSI: -60, PR: 28, LP: 2229,  PER: 0.98
