connecting to JLink...
connecting to nRF52840_xxAA...
connected, starting RTT...
RTT started, 2 up bufs, 2 down bufs.
up channels:
    0: name = 'Terminal', size = 512 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
down channels:
    0: name = 'Terminal', size = 16 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
<info> app: RSSI: -61, PR: 1, LP: 19,  PER: 0.94
<info> app: RSSI: -52, PR: 2, LP: 20,  PER: 0.90
<info> app: RSSI: -54, PR: 3, LP: 21,  PER: 0.85
<info> app: RSSI: -55, PR: 4, LP: 22,  PER: 0.81
<info> app: RSSI: -70, PR: 5, LP: 23,  PER: 0.78
<info> app: RSSI: -55, PR: 6, LP: 24,  PER: 0.75
<info> app: RSSI: -55, PR: 7, LP: 28,  PER: 0.75
<info> app: RSSI: -67, PR: 8, LP: 29,  PER: 0.72
<info> app: RSSI: -64, PR: 9, LP: 31,  PER: 0.70
<info> app: RSSI: -65, PR: 10, LP: 32,  PER: 0.68
<info> app: RSSI: -51, PR: 11, LP: 33,  PER: 0.66
<info> app: RSSI: -56, PR: 12, LP: 34,  PER: 0.64
<info> app: RSSI: -51, PR: 13, LP: 35,  PER: 0.62
<info> app: RSSI: -56, PR: 14, LP: 40,  PER: 0.65
<info> app: RSSI: -56, PR: 15, LP: 41,  PER: 0.63
<info> app: RSSI: -55, PR: 16, LP: 42,  PER: 0.61
<info> app: RSSI: -56, PR: 17, LP: 43,  PER: 0.60
<info> app: RSSI: -56, PR: 18, LP: 44,  PER: 0.59
<info> app: RSSI: -55, PR: 19, LP: 45,  PER: 0.57
<info> app: RSSI: -68, PR: 20, LP: 46,  PER: 0.56
<info> app: RSSI: -60, PR: 21, LP: 47,  PER: 0.55
<info> app: RSSI: -58, PR: 22, LP: 48,  PER: 0.54
<info> app: RSSI: -54, PR: 23, LP: 50,  PER: 0.54
<info> app: RSSI: -54, PR: 24, LP: 51,  PER: 0.52
<info> app: RSSI: -58, PR: 25, LP: 52,  PER: 0.51
<info> app: RSSI: -55, PR: 26, LP: 53,  PER: 0.50
<info> app: RSSI: -54, PR: 27, LP: 54,  PER: 0.50
<info> app: RSSI: -52, PR: 28, LP: 55,  PER: 0.49
<info> app: RSSI: -52, PR: 29, LP: 56,  PER: 0.48
<info> app: RSSI: -54, PR: 30, LP: 57,  PER: 0.47
<info> app: RSSI: -56, PR: 31, LP: 59,  PER: 0.47
<info> app: RSSI: -58, PR: 32, LP: 61,  PER: 0.47
<info> app: RSSI: -57, PR: 33, LP: 67,  PER: 0.50
<info> app: RSSI: -55, PR: 34, LP: 68,  PER: 0.50
<info> app: RSSI: -64, PR: 35, LP: 72,  PER: 0.51
<info> app: RSSI: -55, PR: 36, LP: 73,  PER: 0.50
<info> app: RSSI: -50, PR: 37, LP: 74,  PER: 0.50
<info> app: RSSI: -62, PR: 38, LP: 75,  PER: 0.49
<info> app: RSSI: -65, PR: 39, LP: 82,  PER: 0.52
<info> app: RSSI: -68, PR: 40, LP: 84,  PER: 0.52
<info> app: RSSI: -56, PR: 41, LP: 85,  PER: 0.51
<info> app: RSSI: -54, PR: 42, LP: 91,  PER: 0.53
<info> app: RSSI: -59, PR: 43, LP: 97,  PER: 0.55
<info> app: RSSI: -56, PR: 44, LP: 98,  PER: 0.55
<info> app: RSSI: -54, PR: 45, LP: 99,  PER: 0.54
<info> app: RSSI: -57, PR: 46, LP: 100,  PER: 0.54
<info> app: RSSI: -59, PR: 47, LP: 101,  PER: 0.53
<info> app: RSSI: -58, PR: 48, LP: 102,  PER: 0.52
<info> app: RSSI: -56, PR: 49, LP: 103,  PER: 0.52
<info> app: RSSI: -56, PR: 50, LP: 104,  PER: 0.51
<info> app: RSSI: -59, PR: 51, LP: 105,  PER: 0.51
<info> app: RSSI: -54, PR: 52, LP: 106,  PER: 0.50
<info> app: RSSI: -58, PR: 53, LP: 107,  PER: 0.50
<info> app: RSSI: -58, PR: 54, LP: 108,  PER: 0.50
<info> app: RSSI: -56, PR: 55, LP: 109,  PER: 0.49
<info> app: RSSI: -59, PR: 56, LP: 110,  PER: 0.49
<info> app: RSSI: -60, PR: 57, LP: 111,  PER: 0.48
<info> app: RSSI: -52, PR: 58, LP: 112,  PER: 0.48
<info> app: RSSI: -58, PR: 59, LP: 113,  PER: 0.47
<info> app: RSSI: -58, PR: 60, LP: 114,  PER: 0.47
<info> app: RSSI: -56, PR: 61, LP: 115,  PER: 0.46
<info> app: RSSI: -58, PR: 62, LP: 116,  PER: 0.46
<info> app: RSSI: -56, PR: 63, LP: 117,  PER: 0.46
<info> app: RSSI: -61, PR: 64, LP: 118,  PER: 0.45
<info> app: RSSI: -57, PR: 65, LP: 119,  PER: 0.45
<info> app: RSSI: -58, PR: 66, LP: 125,  PER: 0.47
<info> app: RSSI: -59, PR: 67, LP: 128,  PER: 0.47
<info> app: RSSI: -52, PR: 68, LP: 129,  PER: 0.47
<info> app: RSSI: -56, PR: 69, LP: 130,  PER: 0.46
<info> app: RSSI: -55, PR: 70, LP: 131,  PER: 0.46
<info> app: RSSI: -50, PR: 71, LP: 136,  PER: 0.47
<info> app: RSSI: -55, PR: 72, LP: 137,  PER: 0.47
<info> app: RSSI: -69, PR: 73, LP: 139,  PER: 0.47
<info> app: RSSI: -55, PR: 74, LP: 140,  PER: 0.47
<info> app: RSSI: -58, PR: 75, LP: 141,  PER: 0.46
<info> app: RSSI: -57, PR: 76, LP: 142,  PER: 0.46
<info> app: RSSI: -65, PR: 77, LP: 143,  PER: 0.46
<info> app: RSSI: -57, PR: 78, LP: 144,  PER: 0.45
<info> app: RSSI: -60, PR: 79, LP: 145,  PER: 0.45
<info> app: RSSI: -57, PR: 80, LP: 146,  PER: 0.45
<info> app: RSSI: -63, PR: 81, LP: 147,  PER: 0.44
<info> app: RSSI: -57, PR: 82, LP: 148,  PER: 0.44
<info> app: RSSI: -65, PR: 83, LP: 149,  PER: 0.44
<info> app: RSSI: -53, PR: 84, LP: 156,  PER: 0.46
<info> app: RSSI: -58, PR: 85, LP: 160,  PER: 0.46
<info> app: RSSI: -54, PR: 86, LP: 161,  PER: 0.46
<info> app: RSSI: -59, PR: 87, LP: 162,  PER: 0.46
<info> app: RSSI: -68, PR: 88, LP: 166,  PER: 0.46
<info> app: RSSI: -68, PR: 89, LP: 167,  PER: 0.46
<info> app: RSSI: -66, PR: 90, LP: 178,  PER: 0.49
<info> app: RSSI: -58, PR: 91, LP: 181,  PER: 0.49
<info> app: RSSI: -59, PR: 92, LP: 204,  PER: 0.54
<info> app: RSSI: -58, PR: 93, LP: 235,  PER: 0.60
<info> app: RSSI: -59, PR: 94, LP: 236,  PER: 0.60
<info> app: RSSI: -57, PR: 95, LP: 237,  PER: 0.59
<info> app: RSSI: -69, PR: 96, LP: 238,  PER: 0.59
